mean_fit_time;param_C;param_kernel;mean_test_score
0.365616718928;1e-07;linear;0.121710526316
0.639957030614;1e-07;poly;0.242324561404
0.521108706792;1e-07;sigmoid;0.121710526316
0.621378421783;1e-07;rbf;0.121710526316
0.53573735555;1e-06;linear;0.121710526316
0.703253189723;1e-06;poly;0.242324561404
0.435138146083;1e-06;sigmoid;0.121710526316
0.446961005529;1e-06;rbf;0.121710526316
0.3828505675;1e-05;linear;0.151315789474
0.600511630376;1e-05;poly;0.242324561404
0.420152107875;1e-05;sigmoid;0.121710526316
0.459010521571;1e-05;rbf;0.121710526316
0.505688349406;0.0001;linear;0.268640350877
0.631819089254;0.0001;poly;0.242324561404
0.48481297493;0.0001;sigmoid;0.121710526316
0.464903354645;0.0001;rbf;0.121710526316
0.567641099294;0.001;linear;0.266447368421
0.857088963191;0.001;poly;0.242324561404
0.503801981608;0.001;sigmoid;0.121710526316
0.492023388545;0.001;rbf;0.121710526316
1.60519091288;0.01;linear;0.247807017544
0.650918483734;0.01;poly;0.242324561404
0.516093969345;0.01;sigmoid;0.121710526316
0.416378418605;0.01;rbf;0.121710526316
6.47833482424;0.1;linear;0.219298245614
0.52278470993;0.1;poly;0.242324561404
0.384526252747;0.1;sigmoid;0.191885964912
0.493492046992;0.1;rbf;0.121710526316
24.755187273;1.0;linear;0.217105263158
0.560652256012;1.0;poly;0.242324561404
0.29015994072;1.0;sigmoid;0.145833333333
0.661418914795;1.0;rbf;0.121710526316
171.829863548;10.0;linear;0.217105263158
0.592006047567;10.0;poly;0.242324561404
0.253577073415;10.0;sigmoid;0.143640350877
0.457707007726;10.0;rbf;0.121710526316
779.039944092;100.0;linear;0.217105263158
0.634263515472;100.0;poly;0.242324561404
0.273276170095;100.0;sigmoid;0.143640350877
0.529037634532;100.0;rbf;0.121710526316
